Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
2016-03-04,Civilsdaily,Consumer Internet,Civil Services News Aggregator,New Delhi,Manoj Kumar & Other undisclosed investors,Seed Funding,,
2016-03-04,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,1000000.0,http://www.aahaa.in/
2016-03-04,Arcatron Mobility,Technology,Smart wheelchair Design and Development,Pune,"Sudhir Mehta, Anoop Hingorani",Seed Funding,,http://arcatron.com/
2016-03-03,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Seed Funding,500000.0,https://www.shouut.com/
2016-03-03,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,1000000.0,http://imarticus.org/
2016-03-03,Vertuals,Technology,Audio Visual Digital Content creators for Brands,Mumbai,Dino Morea,Seed Funding,,http://vertuals.com/
2016-03-02,Systemantics,Technology,Industrial robots maker,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,1400000.0,
2016-03-02,Skedool,Consumer Internet,AI based Office Assistant Mobile App,Seattle / Bangalore,"Kludein LLC
Phanindra Sama, Narayan Ramachandran, Pranav Pai",Seed Funding,,
2016-03-02,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,600000.0,http://www.momarkservices.com/
2016-03-01,Gympik,Consumer Internet,"Fitness Centres, Gym Discovery online marketplace",Bangalore,RoundGlass Partners,Private Equity,,http://www.gympik.com/
2016-03-01,DriveU,Consumer Internet,Chauffeurs Discovery for private car owners,Bangalore,Unitus Seed Fund,Seed Funding,,http://www.driveu.in/
2016-03-01,IQlect,Technology,Big Data Analytics Platform,Bangalore,"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite",Private Equity,,http://www.iqlect.com/
2016-03-01,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,S Chand & Co,Private Equity,,http://testbook.com/
2016-02-29,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,Private Equity,13000000.0,http://www.hopscotch.in/
2016-02-29,Nestaway,Consumer Internet,Online Home Rental Marketplace,Bangalore,Ratan Tata,Private Equity,,http://www.nestaway.com/
2016-02-29,PinClick,Consumer Internet,Online real estate listings,Bangalore,Undisclosed investors,Private Equity,,
2016-02-26,EduBridge,Consumer Internet,Skill development and vocational training platform,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,2500000.0,http://www.edubridgeindia.com/
2016-02-26,Freedom Smart Labs,Technology,IoT retail solutions,New Delhi,Kapil Goel,Seed Funding,145000.0,http://freedom.desi/
